m_chi_1p,m_chi_10
310.8,200.85
312.26,201.97
313.72,203.08
315.18,204.21
316.64,205.31
318.06,206.37
319.45,207.38
320.86,208.38
322.26,209.36
323.65,210.32
325.04,211.26
326.38,212.16
327.69,213.03
329.05,213.91
330.43,214.8
331.74,215.63
333.06,216.45
334.37,217.25
335.67,218.03
336.91,218.76
338.21,219.53
339.53,220.29
340.82,221.02
342.06,221.7
343.3,222.37
344.55,223.04
345.8,223.7
347.04,224.36
348.28,225.03
349.57,225.74
350.82,226.44
352.06,227.15
353.37,227.91
354.69,228.68
355.94,229.42
357.23,230.19
358.55,230.97
359.86,231.77
361.16,232.56
362.47,233.37
363.79,234.19
365.1,235.01
366.44,235.86
367.8,236.72
369.11,237.56
370.43,238.42
371.77,239.3
373.16,240.22
374.55,241.16
375.88,242.06
377.24,242.98
378.63,243.93
380.02,244.88
381.38,245.82
382.75,246.77
384.14,247.72
385.53,248.68
386.89,249.62
388.27,250.56
389.65,251.52
391.04,252.48
392.43,253.44
393.79,254.38
395.18,255.34
396.57,256.3
397.96,257.25
399.31,258.17
400.66,259.09
402.05,260.03
403.44,260.95
404.78,261.83
406.09,262.68
407.41,263.52
408.77,264.39
410.09,265.22
411.4,266.03
412.72,266.83
414.0,267.61
415.32,268.4
416.63,269.18
417.88,269.91
419.15,270.64
420.46,271.37
421.7,272.06
422.95,272.72
424.16,273.35
425.39,273.98
426.64,274.59
427.84,275.17
429.01,275.72
430.22,276.27
431.4,276.8
432.57,277.3
433.73,277.78
434.87,278.24
436.04,278.71
437.17,279.14
438.28,279.56
439.45,279.99
440.57,280.4
441.67,280.79
442.83,281.21
443.93,281.6
445.03,281.99
446.19,282.4
447.29,282.79
448.39,283.18
449.56,283.59
450.65,283.99
451.78,284.4
452.93,284.82
454.03,285.21
455.17,285.62
456.3,286.03
457.4,286.43
458.55,286.85
459.67,287.25
460.78,287.66
461.94,288.08
463.04,288.48
464.17,288.88
465.31,289.29
466.4,289.68
467.55,290.08
468.65,290.47
469.75,290.84
470.88,291.22
471.98,291.58
473.08,291.94
474.18,292.29
475.28,292.64
476.36,292.96
477.46,293.29
478.55,293.61
479.61,293.91
480.7,294.22
481.77,294.52
482.83,294.8
483.93,295.09
484.96,295.36
486.04,295.64
487.1,295.9
488.13,296.16
489.23,296.42
490.25,296.66
491.31,296.9
492.35,297.13
493.37,297.34
494.42,297.55
495.44,297.75
496.46,297.93
497.48,298.1
498.47,298.25
499.48,298.39
500.48,298.5
501.45,298.6
502.43,298.69
503.38,298.74
504.35,298.79
505.3,298.8
506.21,298.8
507.16,298.77
508.04,298.71
508.96,298.63
509.84,298.53
510.71,298.4
511.59,298.24
512.42,298.07
513.29,297.87
514.1,297.67
514.95,297.43
515.76,297.18
516.57,296.91
517.38,296.62
518.16,296.31
518.95,295.98
519.72,295.64
520.49,295.27
521.25,294.9
522.0,294.51
522.76,294.11
523.49,293.7
524.24,293.28
524.97,292.86
525.71,292.43
526.44,292.0
527.17,291.56
527.9,291.12
528.64,290.68
529.37,290.24
530.1,289.8
530.82,289.36
531.55,288.91
532.28,288.47
533.01,288.02
533.74,287.58
534.47,287.15
535.2,286.72
535.95,286.3
536.69,285.89
537.44,285.49
538.85,286.41
541.35,287.33
543.77,288.22
543.86,288.25
546.37,289.16
548.87,290.05
550.8,290.73
551.38,290.93
553.88,291.78
556.39,292.6
558.38,293.23
558.9,293.4
561.4,294.17
563.91,294.92
566.42,295.66
566.7,295.74
568.92,296.37
571.43,297.07
573.93,297.76
575.74,298.25
576.44,298.44
578.95,299.09
581.45,299.74
583.96,300.37
585.54,300.75
586.47,300.98
588.97,301.58
591.48,302.16
593.98,302.72
596.46,303.26
596.49,303.26
599.0,303.78
601.5,304.27
604.01,304.73
606.52,305.18
609.02,305.6
610.01,305.76
611.53,306.01
614.04,306.4
616.54,306.77
619.05,307.12
621.55,307.47
624.06,307.79
626.57,308.1
628.02,308.27
629.07,308.39
631.58,308.65
634.09,308.87
636.59,309.05
639.1,309.17
641.6,309.23
644.11,309.19
646.62,309.04
649.12,308.76
651.63,308.31
651.8,308.27
654.14,307.68
656.64,306.85
659.15,305.85
659.33,305.76
661.65,304.62
664.11,303.26
664.16,303.23
666.67,301.62
667.95,300.75
669.17,299.86
671.25,302.06
676.7,306.25
693.75,316.84
699.52,318.75
716.25,323.85
738.75,326.5
761.25,330.24
764.17,331.25
783.75,341.78
787.32,343.75
804.77,356.25
806.25,357.49
828.75,361.68
851.25,360.76
873.75,361.96
896.25,361.99
912.3,356.25
918.75,353.78
930.66,343.75
940.93,331.25
941.25,330.7
946.34,318.75
950.84,306.25
955.56,293.75
960.66,281.25
963.75,273.55
965.6,268.75
969.89,256.25
973.66,243.75
977.12,231.25
980.35,218.75
983.37,206.25
986.25,194.31
986.39,193.75
989.5,181.25
992.71,168.75
996.0,156.25
999.3,143.75
1002.6,131.25
1005.8,118.75
1008.6,106.25
1008.8,104.86
1010.1,93.75
1010.4,81.25
1010.1,68.75
1009.5,56.25
1008.8,44.248
1008.7,43.75
1008.0,31.25
1007.6,18.75
1007.5,6.25
