Configuration	Term	J	Prefix	Level (Hartree)	Suffix	Uncertainty (Hartree)	Leading percentages	Reference
"2p5.3s.(3P*).8d"	"4P*"	"1/2,3/2"	""	"1.38790"	""	"0.00003"	"  63                                           or  :    69  2p5.3s.(3P*<2>).8d    2[0]*,2[1]* "	""
"2p5.3s.(3P*).7d"	"4D*"	"1/2,3/2"	""	"1.38862"	""	"0.00009"	"  41                                           or  :    79  2p5.3s.(3P*<1>).7d    2[1]*       "	""
"2p5.3s.(3P*).10s"	"2P*"	"3/2"	""	"1.38888"	""	"0.00003"	"  78                                           or  :    94  2p5.3s.(3P*<2>).10s   2[2]*       "	""
"2p5.3s.(3P*).9d"	"4P*"	"1/2,3/2"	""	"1.38942"	""	"0.00003"	"  70                                           or  :        2p5.3s.(3P*<2>).9d    2[0]*,2[1]* "	""
"2p5.3s.(3P*).8s"	"4P*"	"1/2"	""	"1.38990"	""	"0.00003"	"  57                                           or  :    91  2p5.3s.(3P*<0>).8s    2[0]*       "	""
"2p5.3s.(3P*).9s"	"2P*,4P*?"	"1/2,3/2"	""	"1.39033"	""	"0.00003"	"                                               or  :    84  2p5.3s.(3P*<1>).9s    2[1]*       "	""
"2p5.3s.(3P*).10d"	"4P*"	"1/2,3/2"	""	"1.39066"	""	"0.00003"	"  73                                           or  :        2p5.3s.(3P*<2>).10d   2[0]*,2[1]* "	""
"2p5.3s.(3P*).8d"	"4D*"	"1/2,3/2"	""	"1.39074"	""	"0.00009"	"  41                                           or  :    76  2p5.3s.(3P*<1>).8d    2[1]*       "	""
"2p5.3s.(3P*).7d"	"4F*"	"3/2"	""	"1.39114"	""	"0.00003"	"  31                                           or  :    64  2p5.3s.(3P*<0>).7d    2[2]*       "	""
"2p5.3s.(3P*).12s"	"2P*"	"3/2"	""	"1.39131"	""	"0.00003"	"  79                                           or  :    95  2p5.3s.(3P*<2>).12s   2[2]*       "	""
"2p5.3s.(1P*).5d"	"2P*"	"1/2,3/2"	""	"1.39154"	""	"0.00003"	"  48                                           or  :    48  2p5.3s.(1P*<1>).5d    2[1]*       "	""
"2p5.3s.(3P*).13s"	"2P*"	"3/2"	""	"1.39199"	""	"0.00003"	"  74                                           or  :    90  2p5.3s.(3P*<2>).13s   2[2]*       "	""
"2p5.3s.(3P*).12d"	"4P*?"	"1/2,3/2"	""	"1.39224"	""	"0.00003"	"  70                                           or  :        2p5.3s.(3P*<2>).12d   2[0]*,2[1]* "	""
"2p5.3s.(3P*).14s"	"2P*"	"3/2"	""	"1.39263"	""	"0.00003"	"  80                                           or  :    97  2p5.3s.(3P*<2>).14s   2[2]*       "	""
"2p5.3s.(3P*).9s"	"4P*?"	"1/2"	""	"1.39282"	""	"0.00009"	"  61                                           or  :    95  2p5.3s.(3P*<0>).9s    2[0]*       "	""
"2p5.3s.(3P*).15s"	"2P*"	"3/2"	""	"1.39316"	""	"0.00009"	"  81                                           or  :    98  2p5.3s.(3P*<2>).15s   2[2]*       "	""
"2p5.3s.(3P*).16s"	"2P*"	"3/2"	""	"1.39355"	""	"0.00009"	"  79                                           or  :    95  2p5.3s.(3P*<2>).16s   2[2]*       "	""
"2p5.3s.(3P*).11s"	"2P*,4P*"	"1/2,3/2"	""	"1.39377"	""	"0.00003"	"                                               or  :    88  2p5.3s.(3P*<1>).11s   2[1]*       "	""
"2p5.3s.(3P*).8d"	"4F*"	"3/2"	""	"1.39407"	""	"0.00003"	"  26                                           or  :    55  2p5.3s.(3P*<0>).8d    2[2]*       "	""
"2p5.3s.(3P*).12s"	"2P*,4P*"	"1/2,3/2"	""	"1.39477"	""	"0.00003"	"                                               or  :    91  2p5.3s.(3P*<1>).12s   2[1]*       "	""
"2p5.3s.(3P*).10s"	"4P*"	"1/2"	""	"1.39500"	""	"0.00003"	"  58                                           or  :    89  2p5.3s.(3P*<0>).10s   2[0]*       "	""
"2p5.3s.(3P*).13s"	"2P*,4P*"	"1/2,3/2"	""	"1.39546"	""	"0.00009"	"                                               or  :    95  2p5.3s.(3P*<1>).13s   2[1]*       "	""
"2p5.3s.(3P*).9d"	"4F*"	"3/2"	""	"1.39572"	""	"0.00009"	"  45                                           or  :    94  2p5.3s.(3P*<0>).9d    2[2]*       "	""
"Na II (2p5.3s 3P*<2>)"	"Limit"	"---"	""	"1.3959416"	""	"0.0000009"	"                                                                                              "	""
"2p5.3s.(1P*).7s"	"2P*"	"1/2,3/2"	""	"1.39626"	""	"0.00004"	"  69                                           or  :    69  2p5.3s.(1P*<1>).7s    2[1]*       "	""
"2p5.3s.(3P*).11s"	"4P*"	"1/2"	""	"1.39663"	""	"0.00004"	"  26                                           or  :    42  2p5.3s.(3P*<0>).11s   2[0]*       "	""
"2p5.3s.(3P*).12s"	"4P*"	"1/2"	""	"1.39748"	""	"0.00004"	"  57                                           or  :    88  2p5.3s.(3P*<0>).12s   2[0]*       "	""
"2p5.3s.(1P*).6d"	"2P*"	"1/2,3/2"	""	"1.39833"	""	"0.00004"	"  80                                           or  :    80  2p5.3s.(1P*<1>).6d    2[1]*       "	""
"2p5.3s.(3P*).14s"	"4P*"	"1/2"	""	"1.39894"	""	"0.00004"	"  66                                           or  :   100  2p5.3s.(3P*<0>).14s   2[0]*       "	""
"2p5.3s.(3P*).15s"	"4P*"	"1/2"	""	"1.39931"	""	"0.00004"	"  66                                           or  :   100  2p5.3s.(3P*<0>).15s   2[0]*       "	""
"Na II (2p5.3s 3P*<1>)"	"Limit"	"---"	""	"1.3994286"	""	"0.0000009"	"                                                                                              "	""
"2p5.3s.(3P*).16s"	"4P*"	"1/2"	""	"1.39972"	""	"0.00004"	"  66                                           or  :   100  2p5.3s.(3P*<0>).16s   2[0]*       "	""
"2p5.3s.(3P*).17s"	"4P*"	"1/2"	""	"1.40001"	""	"0.00004"	"  66                                           or  :   100  2p5.3s.(3P*<0>).17s   2[0]*       "	""
"2p5.3s.(3P*).18s"	"4P*"	"1/2"	""	"1.40022"	""	"0.00004"	"  66                                           or  :   100  2p5.3s.(3P*<0>).18s   2[0]*       "	""
"2p5.3s.(3P*).19s"	"4P*"	"1/2"	""	"1.40040"	""	"0.00004"	"  66                                           or  :   100  2p5.3s.(3P*<0>).19s   2[0]*       "	""
"2p5.3s.(3P*).20s"	"4P*"	"1/2"	""	"1.40063"	""	"0.00004"	"  66                                           or  :   100  2p5.3s.(3P*<0>).20s   2[0]*       "	""
"2p5.3s.(1P*).8s"	"2P*"	"1/2,3/2"	""	"1.40118"	""	"0.00004"	"  94                                           or  :    94  2p5.3s.(1P*<1>).8s    2[1]*       "	""
"Na II (2p5.3s 3P*<0>)"	"Limit"	"---"	""	"1.4021259"	""	"0.0000009"	"                                                                                              "	""
"2p5.3s.(1P*).7d"	"2P*"	"1/2,3/2"	""	"1.40245"	""	"0.00004"	"  79                                           or  :    79  2p5.3s.(1P*<1>).7d    2[1]*       "	""
"2p5.3s.(1P*).9s"	"2P*"	"1/2,3/2"	""	"1.40424"	""	"0.00004"	"  95                                           or  :    95  2p5.3s.(1P*<1>).9s    2[1]*       "	""
"2p5.3s.(1P*).8d"	"2P*"	"1/2,3/2"	""	"1.40507"	""	"0.00004"	"  80                                           or  :    80  2p5.3s.(1P*<1>).8d    2[1]*       "	""
"2p5.3s.(1P*).10s"	"2P*"	"1/2,3/2"	""	"1.40627"	""	"0.00004"	"  95                                           or  :    95  2p5.3s.(1P*<1>).10s   2[1]*       "	""
"2p5.3s.(1P*).9d"	"2P*"	"1/2,3/2"	""	"1.40687"	""	"0.00004"	"  81                                           or  :    81  2p5.3s.(1P*<1>).9d    2[1]*       "	""
"2p5.3s.(1P*).11s"	"2P*"	"1/2,3/2"	""	"1.40767"	""	"0.00004"	"  96                                           or  :    96  2p5.3s.(1P*<1>).11s   2[1]*       "	""
"2p5.3s.(1P*).10d"	"2P*"	"1/2,3/2"	""	"1.40811"	""	"0.00004"	"  84                                           or  :    84  2p5.3s.(1P*<1>).10d   2[1]*       "	""
"2p5.3s.(1P*).12s"	"2P*"	"1/2,3/2"	""	"1.40870"	""	"0.00004"	"  96                                           or  :    96  2p5.3s.(1P*<1>).12s   2[1]*       "	""
"2p5.3s.(1P*).11d"	"2P*"	"1/2,3/2"	""	"1.40903"	""	"0.00004"	"  85                                           or  :    85  2p5.3s.(1P*<1>).11d   2[1]*       "	""
"2p5.3s.(1P*).13s"	"2P*"	"1/2,3/2"	""	"1.40948"	""	"0.00004"	"  96                                           or  :    96  2p5.3s.(1P*<1>).13s   2[1]*       "	""
"2p5.3s.(1P*).12d"	"2P*"	"1/2,3/2"	""	"1.40974"	""	"0.00004"	"  86                                           or  :    86  2p5.3s.(1P*<1>).12d   2[1]*       "	""
"2p5.3s.(1P*).14s"	"2P*"	"1/2,3/2"	""	"1.41006"	""	"0.00009"	"  96                                           or  :    96  2p5.3s.(1P*<1>).14s   2[1]*       "	""
"2p5.3s.(1P*).13d"	"2P*"	"1/2,3/2"	""	"1.41030"	""	"0.00004"	"  86                                           or  :    86  2p5.3s.(1P*<1>).13d   2[1]*       "	""
"2p5.3s.(1P*).15s"	"2P*"	"1/2,3/2"	""	"1.41059"	""	"0.00009"	"  96                                           or  :    96  2p5.3s.(1P*<1>).15s   2[1]*       "	""
"2p5.3s.(1P*).14d"	"2P*"	"1/2,3/2"	""	"1.41070"	""	"0.00004"	"  87                                           or  :    87  2p5.3s.(1P*<1>).14d   2[1]*       "	""
"2p5.3s.(1P*).15d"	"2P*"	"1/2,3/2"	""	"1.41107"	""	"0.00009"	"  88                                           or  :    88  2p5.3s.(1P*<1>).15d   2[1]*       "	""
"2p5.3s.(1P*).16d"	"2P*"	"1/2,3/2"	""	"1.41133"	""	"0.00009"	"  88                                           or  :    88  2p5.3s.(1P*<1>).16d   2[1]*       "	""
"2p5.3s.(1P*).17d"	"2P*"	"1/2,3/2"	""	"1.41155"	""	"0.00009"	"  88                                           or  :    88  2p5.3s.(1P*<1>).17d   2[1]*       "	""
"2p5.3s.(1P*).18d"	"2P*"	"1/2,3/2"	""	"1.41172"	""	"0.00009"	"  88                                           or  :    88  2p5.3s.(1P*<1>).18d   2[1]*       "	""
"2p5.3s.(1P*).19d"	"2P*"	"1/2,3/2"	""	"1.41194"	""	"0.00009"	"  89                                           or  :    89  2p5.3s.(1P*<1>).19d   2[1]*       "	""
"2p5.3s.(1P*).20d"	"2P*"	"1/2,3/2"	""	"1.41207"	""	"0.00009"	"  90                                           or  :    90  2p5.3s.(1P*<1>).20d   2[1]*       "	""
"Na II (2p5.3s 1P*<1>)"	"Limit"	"---"	""	"1.4134317"	""	"0.0000009"	"                                                                                              "	""
"2p5.(2P*).3p2.(1S)"	"2P*"	"3/2"	""	"1.416934"	""	"0.000009"	"  79                                               :     6  2p5.(2P*).3d2.(1S)    2P*         "	""
"2p5.(2P*).3p2.(1S)"	"2P*"	"1/2"	""	"1.423199"	""	"0.000023"	"  56                                               :    19  2p5.(2P*).3d2.(1S)    2P*         "	""
"2p5.3p.(3P<1>).4p.(I)"	""	"1/2,3/2"	""	"1.4755"	""	"0.0005"	"      2p5.(2P*<1/2>).3p.(3P<1>).4p.(I)                                                        "	""
"2p5.3p.(3S<1>).4p"	"2[1]*"	"1/2,3/2"	""	"1.48919"	""	"0.00004"	"      2p5.(2P*<3/2>).3p.(3S<1>).4p                                                            "	""
"2p5.3p.(3S<1>).5p"	"2[1]*"	"1/2,3/2"	""	"1.50298"	""	"0.00004"	"      2p5.(2P*<3/2>).3p.(3S<1>).5p                                                            "	""
"2p5.3p.(3S<1>).6p"	"2[1]*"	"1/2,3/2"	""	"1.50987"	""	"0.00004"	"      2p5.(2P*<3/2>).3p.(3S<1>).6p                                                            "	""
"2p5.3p.(3S<1>).7p"	"2[1]*"	"1/2,3/2"	""	"1.51403"	""	"0.00004"	"      2p5.(2P*<3/2>).3p.(3S<1>).7p                                                            "	""
"2p5.3p.(3P<1>).5p.(I)"	""	"1/2,3/2"	""	"1.51499"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(3P<1>).5p.(I)                                                        "	""
"2p5.3p.(3S<1>).8p"	"2[1]*"	"1/2,3/2"	""	"1.51664"	""	"0.00004"	"      2p5.(2P*<3/2>).3p.(3S<1>).8p                                                            "	""
"2p5.3p.(1D<2>).4p"	""	"1/2,3/2"	""	"1.51753"	""	"0.00004"	"      2p5.(2P*<3/2>).3p.(1D<2>).4p                                                            "	""
"2p5.3p.(3S<1>).9p"	"2[1]*"	"1/2,3/2"	""	"1.51835"	""	"0.00004"	"      2p5.(2P*<3/2>).3p.(3S<1>).9p                                                            "	""
"2p5.3p.(3S<1>).10p"	"2[1]*"	"1/2,3/2"	""	"1.51962"	""	"0.00004"	"      2p5.(2P*<3/2>).3p.(3S<1>).10p                                                           "	""
"2p5.3p.(3S<1>).11p"	"2[1]*"	"1/2,3/2"	""	"1.52058"	""	"0.00004"	"      2p5.(2P*<3/2>).3p.(3S<1>).11p                                                           "	""
"2p5.3p.(3S<1>).12p"	"2[1]*"	"1/2,3/2"	""	"1.52121"	""	"0.00004"	"      2p5.(2P*<3/2>).3p.(3S<1>).12p                                                           "	""
"2p5.3p.(3S<1>).13p"	"2[1]*"	"1/2,3/2"	""	"1.52175"	""	"0.00004"	"      2p5.(2P*<3/2>).3p.(3S<1>).13p                                                           "	""
"2p5.3p.(1P<1>).4p"	""	"1/2,3/2"	""	"1.52202"	""	"0.00004"	"      2p5.(2P*<1/2>).3p.(1P<1>).4p                                                            "	""
"2p5.3p.(3S<1>).14p"	"2[1]*"	"1/2,3/2"	""	"1.52220"	""	"0.00004"	"      2p5.(2P*<3/2>).3p.(3S<1>).14p                                                           "	""
"2p5.3p.(3S<1>).15p"	"2[1]*"	"1/2,3/2"	""	"1.52259"	""	"0.00005"	"      2p5.(2P*<3/2>).3p.(3S<1>).15p                                                           "	""
"2p5.3p.(3S<1>).16p"	"2[1]*"	"1/2,3/2"	""	"1.52279"	""	"0.00005"	"      2p5.(2P*<3/2>).3p.(3S<1>).16p                                                           "	""
"2p5.3p.(3P<1>).4p.(II)"	""	"1/2,3/2"	""	"1.52462"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(3P<1>).4p.(II)                                                       "	""
"2p5.3p.(1D<2>).5p"	""	"1/2,3/2"	""	"1.53097"	""	"0.00004"	"      2p5.(2P*<3/2>).3p.(1D<2>).5p                                                            "	""
"2p5.3p.(3P<1>).6p.(I)"	""	"1/2,3/2"	""	"1.53211"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(3P<1>).6p.(I)                                                        "	""
"2p5.3p.(1P<1>).5p"	""	"1/2,3/2"	""	"1.53422"	""	"0.00004"	"      2p5.(2P*<1/2>).3p.(1P<1>).5p                                                            "	""
"2p5.3p.(3P<1>).5p.(II)"	""	"1/2,3/2"	""	"1.53666"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(3P<1>).5p.(II)                                                       "	""
"2p5.3p.(1D<2>).6p"	""	"1/2,3/2"	""	"1.53739"	""	"0.00004"	"      2p5.(2P*<3/2>).3p.(1D<2>).6p                                                            "	""
"2p5.3p.(1P<1>).6p"	""	"1/2,3/2"	""	"1.54072"	""	"0.00004"	"      2p5.(2P*<1/2>).3p.(1P<1>).6p                                                            "	""
"2p5.3p.(3P<1>).7p.(I)"	""	"1/2,3/2"	""	"1.54081"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(3P<1>).7p.(I)                                                        "	""
"2p5.3p.(1D<2>).7p"	""	"1/2,3/2"	""	"1.54141"	""	"0.00004"	"      2p5.(2P*<3/2>).3p.(1D<2>).7p                                                            "	""
"2p5.3p.(3P<1>).6p.(II)"	""	"1/2,3/2"	""	"1.54389"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(3P<1>).6p.(II)                                                       "	""
"2p5.3p.(1D<2>).8p"	""	"1/2,3/2"	""	"1.54395"	""	"0.00005"	"      2p5.(2P*<3/2>).3p.(1D<2>).8p                                                            "	""
"2p5.3p.(1P<1>).7p"	""	"1/2,3/2"	""	"1.54457"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(1P<1>).7p                                                            "	""
"2p5.3p.(1D<2>).9p"	""	"1/2,3/2"	""	"1.54573"	""	"0.00005"	"      2p5.(2P*<3/2>).3p.(1D<2>).9p                                                            "	""
"2p5.3p.(3P<1>).8p.(I)"	""	"1/2,3/2"	""	"1.54583"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(3P<1>).8p.(I)                                                        "	""
"2p5.3p.(1D<2>).10p"	""	"1/2,3/2"	""	"1.54693"	""	"0.00005"	"      2p5.(2P*<3/2>).3p.(1D<2>).10p                                                           "	""
"2p5.3p.(1P<1>).8p"	""	"1/2,3/2"	""	"1.54719"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(1P<1>).8p                                                            "	""
"2p5.3p.(3P<1>).7p.(II)"	""	"1/2,3/2"	""	"1.54746"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(3P<1>).7p.(II)                                                       "	""
"2p5.3p.(1P<1>).9p"	""	"1/2,3/2"	""	"1.54883"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(1P<1>).9p                                                            "	""
"2p5.3p.(3P<1>).9p.(I)"	""	"1/2,3/2"	""	"1.54883"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(3P<1>).9p.(I)                                                        "	""
"2p5.3p.(3P<1>).8p.(II)"	""	"1/2,3/2"	""	"1.54993"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(3P<1>).8p.(II)                                                       "	""
"2p5.3p.(1P<1>).10p"	""	"1/2,3/2"	""	"1.55004"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(1P<1>).10p                                                           "	""
"2p5.3p.(3P<1>).10p.(I)"	""	"1/2,3/2"	""	"1.55088"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(3P<1>).10p.(I)                                                       "	""
"2p5.3p.(1P<1>).11p"	""	"1/2,3/2"	""	"1.55099"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(1P<1>).11p                                                           "	""
"2p5.3p.(1P<1>).12p"	""	"1/2,3/2"	""	"1.55167"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(1P<1>).12p                                                           "	""
"2p5.3p.(3P<1>).9p.(II)"	""	"1/2,3/2"	""	"1.55167"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(3P<1>).9p.(II)                                                       "	""
"2p5.3p.(1P<1>).13p"	""	"1/2,3/2"	""	"1.55220"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(1P<1>).13p                                                           "	""
"2p5.3p.(3P<1>).11p.(I)"	""	"1/2,3/2"	""	"1.55236"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(3P<1>).11p.(I)                                                       "	""
"2p5.3p.(1P<1>).14p"	""	"1/2,3/2"	""	"1.55263"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(1P<1>).14p                                                           "	""
"2p5.3p.(3P<1>).10p.(II)"	""	"1/2,3/2"	""	"1.55289"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(3P<1>).10p.(II)                                                      "	""
"2p5.3p.(3P<1>).12p.(I)"	""	"1/2,3/2"	""	"1.55347"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(3P<1>).12p.(I)                                                       "	""
"2p5.3p.(3P<1>).11p.(II)"	""	"1/2,3/2"	""	"1.55379"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(3P<1>).11p.(II)                                                      "	""
"2p5.3p.(3P<1>).13p.(I)"	""	"1/2,3/2"	""	"1.55422"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(3P<1>).13p.(I)                                                       "	""
"2p5.3p.(3P<1>).12p.(II)"	""	"1/2,3/2"	""	"1.5546"	""	"0.0005"	"      2p5.(2P*<1/2>).3p.(3P<1>).12p.(II)                                                      "	""
"2p5.3p.(3P<1>).13p.(II)"	""	"1/2,3/2"	""	"1.5554"	""	"0.0005"	"      2p5.(2P*<1/2>).3p.(3P<1>).13p.(II)                                                      "	""
"2p5.3p.(3P<1>).14p.(II)"	""	"1/2,3/2"	""	"1.5556"	""	"0.0005"	"      2p5.(2P*<1/2>).3p.(3P<1>).14p.(II)                                                      "	""
"2p5.3p.(3P<1>).15p.(II)"	""	"1/2,3/2"	""	"1.5561"	""	"0.0005"	"      2p5.(2P*<1/2>).3p.(3P<1>).15p.(II)                                                      "	""
"2p5.3p.(1S<0>).4p"	"2[1]*"	"1/2,3/2"	""	"1.56106"	""	"0.00004"	"      2p5.(2P*<1/2>).3p.(1S<0>).4p                                                            "	""
"2p5.3p.(1S<0>).5p"	"2[1]*"	"1/2,3/2"	""	"1.57412"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(1S<0>).5p                                                            "	""
"2p5.3p.(1S<0>).6p"	"2[1]*"	"1/2,3/2"	""	"1.58117"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(1S<0>).6p                                                            "	""
"2p5.3p.(1S<0>).7p"	"2[1]*"	"1/2,3/2"	""	"1.58525"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(1S<0>).7p                                                            "	""
"2p5.3p.(1S<0>).8p"	"2[1]*"	"1/2,3/2"	""	"1.58788"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(1S<0>).8p                                                            "	""
"2p5.3p.(1S<0>).9p"	"2[1]*"	"1/2,3/2"	""	"1.58967"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(1S<0>).9p                                                            "	""
"2p5.3p.(1S<0>).10p"	"2[1]*"	"1/2,3/2"	""	"1.59092"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(1S<0>).10p                                                           "	""
"2p5.3p.(1S<0>).11p"	"2[1]*"	"1/2,3/2"	""	"1.59190"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(1S<0>).11p                                                           "	""
"2p5.3p.(1S<0>).12p"	"2[1]*"	"1/2,3/2"	""	"1.59251"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(1S<0>).12p                                                           "	""
"2p5.3p.(1S<0>).13p"	"2[1]*"	"1/2,3/2"	""	"1.59307"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(1S<0>).13p                                                           "	""
"2p5.3p.(1S<0>).14p"	"2[1]*"	"1/2,3/2"	""	"1.59351"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(1S<0>).14p                                                           "	""
"2p5.3p.(1S<0>).15p"	"2[1]*"	"1/2,3/2"	""	"1.59391"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(1S<0>).15p                                                           "	""
"2p5.3p.(1S<0>).16p"	"2[1]*"	"1/2,3/2"	""	"1.59413"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(1S<0>).16p                                                           "	""
"2p5.3p.(1S<0>).17p"	"2[1]*"	"1/2,3/2"	""	"1.59441"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(1S<0>).17p                                                           "	""
"2p5.3p.(1S<0>).18p"	"2[1]*"	"1/2,3/2"	""	"1.59463"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(1S<0>).18p                                                           "	""
"2p5.3p.(1S<0>).19p"	"2[1]*"	"1/2,3/2"	""	"1.59474"	""	"0.00005"	"      2p5.(2P*<1/2>).3p.(1S<0>).19p                                                           "	""
"2p5.3d.(3P*<2>).4s"	"2[2]*"	"3/2"	""	"1.59479"	""	"0.00005"	"      2p5.(2P*<3/2>).3d.(3P*<2>).4s                                                           "	""
"2p5.3d.(1P*<1>).4s"	"2[1]*"	"1/2,3/2"	""	"1.59675"	""	"0.00005"	"      2p5.(2P*<3/2>).3d.(1P*<1>).4s                                                           "	""
"2p5.4s.(3P*<1>).5s"	"2[1]*"	"1/2,3/2"	""	"1.60270"	""	"0.00005"	"      2p5.(2P*<3/2>).4s.(3P*<1>).5s                                                           "	""
"2p5.3d.(3D*<1>).4s"	"2[1]*"	"1/2,3/2"	""	"1.62032"	""	"0.00006"	"      2p5.(2P*<1/2>).3d.(3D*<1>).4s                                                           "	""
"2p5.3d.(1P*<1>).3d"	""	"1/2,3/2"	""	"1.64404"	""	"0.00005"	"      2p5.(2P*<3/2>).3d.(1P*<1>).3d                                                           "	""
"2p5.4s.(3P*<1>).3d"	""	"1/2,3/2"	""	"1.64541"	""	"0.00005"	"      2p5.(2P*<3/2>).4s.(3P*<1>).3d                                                           "	""
"2p5.4s.(1P*<1>).3d"	""	"1/2,3/2"	""	"1.64674"	""	"0.00005"	"      2p5.(2P*<1/2>).4s.(1P*<1>).3d                                                           "	""
"2p5.3d.(3P*<2>).5s"	"2[2]*"	"3/2"	""	"1.64962"	""	"0.00005"	"      2p5.(2P*<3/2>).3d.(3P*<2>).5s                                                           "	""
"2p5.3d.(1P*<1>).5s"	"2[1]*"	"1/2,3/2"	""	"1.65031"	""	"0.00006"	"      2p5.(2P*<3/2>).3d.(1P*<1>).5s                                                           "	""
"2p5.4s.(3P*<1>).6s"	"2[1]*"	"1/2,3/2"	""	"1.65330"	""	"0.00006"	"      2p5.(2P*<3/2>).4s.(3P*<1>).6s                                                           "	""
"2p5.3d.(3F*<2>).4d"	""	"1/2,3/2"	""	"1.66200"	""	"0.00005"	"      2p5.(2P*<3/2>).3d.(3F*<2>).4d                                                           "	""
"2p5.3d.(3D*<1>).5s"	"2[1]*"	"1/2,3/2"	""	"1.66302"	""	"0.00006"	"      2p5.(2P*<1/2>).3d.(3D*<1>).5s                                                           "	""
"2p5.3d.(3P*<2>).6s"	"2[2]*"	"3/2"	""	"1.66855"	""	"0.00006"	"      2p5.(2P*<3/2>).3d.(3P*<2>).6s                                                           "	""
"2p5.3d.(1P*<1>).4d"	""	"1/2,3/2"	""	"1.66856"	""	"0.00006"	"      2p5.(2P*<3/2>).3d.(1P*<1>).4d                                                           "	""
"2p5.4s.(3P*<1>).4d"	""	"1/2,3/2"	""	"1.66956"	""	"0.00005"	"      2p5.(2P*<3/2>).4s.(3P*<1>).4d                                                           "	""
"2p5.3d.(1P*<1>).6s"	"2[1]*"	"1/2,3/2"	""	"1.67187"	""	"0.00006"	"      2p5.(2P*<3/2>).3d.(1P*<1>).6s                                                           "	""
"2p5.4s.(3P*<1>).7s"	"2[1]*"	"1/2,3/2"	""	"1.67315"	""	"0.00006"	"      2p5.(2P*<3/2>).4s.(3P*<1>).7s                                                           "	""
"2p5.4s.(1P*<1>).4d"	""	"1/2,3/2"	""	"1.67402"	""	"0.00005"	"      2p5.(2P*<1/2>).4s.(1P*<1>).4d                                                           "	""
"2p5.3d.(3F*<2>).5d"	""	"1/2,3/2"	""	"1.67652"	""	"0.00005"	"      2p5.(2P*<3/2>).3d.(3F*<2>).5d                                                           "	""
"2p5.3d.(3P*<2>).7s"	"2[2]*"	"3/2"	""	"1.67804"	""	"0.00005"	"      2p5.(2P*<3/2>).3d.(3P*<2>).7s                                                           "	""
"2p5.4s.(3P*<1>).5d"	""	"1/2,3/2"	""	"1.68013"	""	"0.00007"	"      2p5.(2P*<3/2>).4s.(3P*<1>).5d                                                           "	""
"2p5.3d.(1P*<1>).5d"	""	"1/2,3/2"	""	"1.68013"	""	"0.00007"	"      2p5.(2P*<3/2>).3d.(1P*<1>).5d                                                           "	""
"2p5.3d.(3D*<1>).6s"	"2[1]*"	"1/2,3/2"	""	"1.68106"	""	"0.00007"	"      2p5.(2P*<1/2>).3d.(3D*<1>).6s                                                           "	""
"2p5.3d.(1P*<1>).7s"	"2[1]*"	"1/2,3/2"	""	"1.68143"	""	"0.00007"	"      2p5.(2P*<3/2>).3d.(1P*<1>).7s                                                           "	""
"2p5.4s.(3P*<1>).8s"	"2[1]*"	"1/2,3/2"	""	"1.68280"	""	"0.00007"	"      2p5.(2P*<3/2>).4s.(3P*<1>).8s                                                           "	""
