Configuration	Term	J	Prefix	Level (Hartree)	Suffix	Uncertainty (Hartree)	Reference
"4d.6f"	"(3/2,5/2)*"	"3"	""	"0.2609404"	""	"0.0000009"	"L13135"
"4d.6f"	"(3/2,7/2)*"	"3"	""	"0.2613701"	""	"0.0000009"	"L13135"
"4d.(2D<3/2>).6g"	"2[5/2]"	"2"	""	"0.2615788"	""	"0.0000009"	"L16320"
"4d.6f"	"(5/2,5/2)*"	"1"	""	"0.261885"	""	"0.000003"	"L7603"
"4d.6f"	"(5/2,5/2)*"	"3"	""	"0.2621501"	""	"0.0000009"	"L13135"
"4d.6f"	"(5/2,7/2)*"	"1"	""	"0.262306"	""	"0.000003"	"L7603"
"4d.6f"	"(5/2,7/2)*"	"3"	""	"0.2624080"	""	"0.0000009"	"L13135"
"4d.8d"	"(3/2,5/2)"	"1"	""	"0.2626240"	""	"0.0000009"	"L16320"
"4d.8d"	"(3/2,5/2)"	"2"	""	"0.2627115"	""	"0.0000009"	"L16320"
"4d.9p"	"(3/2,3/2)*"	"1"	""	"0.262658"	""	"0.000003"	"L7603"
"4d.8d"	"(3/2,3/2)"	"1"	""	"0.2628267"	""	"0.0000009"	"L16320"
"4d.8d"	"(3/2,3/2)"	"2"	""	"0.2634468"	""	"0.0000009"	"L16320"
"4d.8d"	"(3/2,3/2)"	"0"	""	"0.2635576"	""	"0.0000009"	"L10938"
"4d.(2D<5/2>).6g"	"2[5/2]"	"2"	""	"0.2628614"	""	"0.0000009"	"L16320"
"4d.(2D<5/2>).6g"	"2[3/2]"	"2"	""	"0.2628791"	""	"0.0000009"	"L16320"
"4d.(2D<5/2>).6g"	"2[3/2]"	"1"	""	"0.2628983"	""	"0.0000009"	"L16320"
"4d.9p"	"(3/2,1/2)*"	"1"	""	"0.263097"	""	"0.000003"	"L7603"
"4d.8d"	"(5/2,5/2)"	"1"	""	"0.2635220"	""	"0.0000009"	"L16320"
"4d.8d"	"(5/2,5/2)"	"2"	""	"0.2648014"	""	"0.0000009"	"L16320"
"4d.8d"	"(5/2,5/2)"	"0"	""	"0.2649728"	""	"0.0000009"	"L10938"
"4d.9p"	"(5/2,1/2)*"	"3"	""	"0.2635653"	""	"0.0000009"	"L13135"
"4d.9p"	"(5/2,3/2)*"	"3"	""	"0.2638893"	""	"0.0000009"	"L13135"
"4d.9p"	"(5/2,3/2)*"	"1"	""	"0.264640"	""	"0.000006"	"L413"
"4d.8d"	"(5/2,3/2)"	"1"	""	"0.2641558"	""	"0.0000009"	"L16320"
"4d.8d"	"(5/2,3/2)"	"2"	""	"0.2643668"	""	"0.0000009"	"L16320"
"4d.7f"	"(3/2,5/2)*"	"1"	""	"0.264365"	""	"0.000003"	"L7603"
"4d.7f"	"(3/2,5/2)*"	"3"	""	"0.2647536"	""	"0.0000009"	"L13135"
"4d.10s"	"(3/2,1/2)"	"1"	""	"0.2647012"	""	"0.0000009"	"L16320"
"4d.7f"	"(3/2,7/2)*"	"3"	""	"0.2651737"	""	"0.0000009"	"L13135"
"4d.7f"	"(5/2,5/2)*"	"1"	""	"0.265575"	""	"0.000003"	"L7603"
"4d.7f"	"(5/2,5/2)*"	"3"	""	"0.2659984"	""	"0.0000009"	"L13135"
"4d.9d"	"(3/2,3/2)"	"1"	""	"0.2659902"	""	"0.0000009"	"L16320"
"4d.9d"	"(3/2,3/2)"	"0"	""	"0.2662317"	""	"0.0000009"	"L10938"
"4d.9d"	"(3/2,3/2)"	"2"	""	"0.2665365"	""	"0.0000009"	"L16320"
"4d.(2D<3/2>).10p"	"2[1/2]*"	"1"	""	"0.266073"	""	"0.000003"	"L7603"
"4d.9d"	"(3/2,5/2)"	"1"	""	"0.2661679"	""	"0.0000009"	"L16320"
"4d.9d"	"(3/2,5/2)"	"2"	""	"0.2662877"	""	"0.0000009"	"L16320"
"4d.7f"	"(5/2,7/2)*"	"1"	""	"0.266192"	""	"0.000003"	"L7603"
"4d.7f"	"(5/2,7/2)*"	"3"	""	"0.2662927"	""	"0.0000009"	"L13135"
"4d.(2D<3/2>).10p"	"2[3/2]*"	"1"	""	"0.266362"	""	"0.000003"	"L7603"
"4d.(2D<5/2>).7g"	"2[5/2]"	"2"	""	"0.2665834"	""	"0.0000009"	"L16320"
"4d.(2D<5/2>).7g"	"2[3/2]"	"2"	""	"0.2665939"	""	"0.0000009"	"L16320"
"4d.(2D<3/2>).8f"	"2[3/2]*"	"1"	""	"0.267085"	""	"0.000003"	"L7603"
"4d.9d"	"(5/2,5/2)"	"1"	""	"0.2671926"	""	"0.0000009"	"L16320"
"4d.9d"	"(5/2,5/2)"	"0"	""	"0.2675020"	""	"0.0000009"	"L10938"
"4d.9d"	"(5/2,5/2)"	"2"	""	"0.2677476"	""	"0.0000009"	"L16320"
"4d.(2D<5/2>).10p"	"2[7/2]*"	"3"	""	"0.2672149"	""	"0.0000009"	"L13135"
"4d.9d"	"(5/2,3/2)"	"1"	""	"0.2673042"	""	"0.0000009"	"L16320"
"4d.9d"	"(5/2,3/2)"	"2"	""	"0.2673976"	""	"0.0000009"	"L16320"
"4d.(2D<5/2>).10p"	"2[3/2]*"	"1"	""	"0.267517"	""	"0.000003"	"L7603"
"4d.(2D<3/2>).8f"	"2[5/2]*"	"3"	""	"0.2676405"	""	"0.0000009"	"L13135"
"4d.(2D<3/2>).8g"	"2[5/2]"	"2"	""	"0.2677079"	""	"0.0000009"	"L16320"
"4d.10d"	"(3/2,5/2)"	"1"	""	"0.2680091"	""	"0.0000009"	"L16320"
"4d.10d"	"(3/2,5/2)"	"2"	""	"0.2683212"	""	"0.0000009"	"L16320"
"4d.10d"	"(3/2,3/2)"	"0"	""	"0.2681686"	""	"0.0000009"	"L10938"
"4d.10d"	"(3/2,3/2)"	"1"	""	"0.2681813"	""	"0.0000009"	"L16320"
"4d.10d"	"(3/2,3/2)"	"2"	""	"0.2685490"	""	"0.0000009"	"L16320"
"4d.(2D<5/2>).8f"	"2[1/2]*"	"1"	""	"0.268489"	""	"0.000003"	"L7603"
"4d.11s"	"(5/2,1/2)"	"2"	""	"0.268504"	""	"0.000009"	"L16320"
"4d.(2D<5/2>).8f"	"2[3/2]*"	"1"	""	"0.268690"	""	"0.000003"	"L7603"
"4d.11s"	"(3/2,1/2)"	"2"	""	"0.2689500"	""	"0.0000009"	"L16320"
"4d.(2D<3/2>).9f"	"2[3/2]*"	"1"	""	"0.268974"	""	"0.000003"	"L7603"
"4d.(2D<5/2>).8g"	"2[5/2]"	"2"	""	"0.2689928"	""	"0.0000009"	"L16320"
"4d.(2D<5/2>).8g"	"2[3/2]"	"2"	""	"0.2689983"	""	"0.0000009"	"L16320"
"4d.10d"	"(5/2,3/2)"	"2"	""	"0.2692225"	""	"0.0000009"	"L16320"
"4d.10d"	"(5/2,3/2)"	"1"	""	"0.2695760"	""	"0.0000009"	"L16320"
"4d.(2D<3/2>).9f"	"2[7/2]*"	"3"	""	"0.2693049"	""	"0.0000009"	"L13135"
"4d.(2D<3/2>).9g"	"2[5/2]"	"2"	""	"0.2693678"	""	"0.0000009"	"L16320"
"4d.10d"	"(5/2,5/2)"	"1"	""	"0.2694498"	""	"0.0000009"	"L16320"
"4d.10d"	"(5/2,5/2)"	"2"	""	"0.2698421"	""	"0.0000009"	"L16320"
"4d.10d"	"(5/2,5/2)"	"0"	""	"0.2700030"	""	"0.0000009"	"L10938"
"4d.(2D<5/2>).9f"	"2[1/2]*"	"1"	""	"0.269910"	""	"0.000003"	"L7603"
"4d.(2D<5/2>).9f"	"2[3/2]*"	"1"	""	"0.270466"	""	"0.000003"	"L7603"
"4d.(2D<3/2>).10f"	"2[3/2]*"	"1"	""	"0.270466"	""	"0.000003"	"L7603"
"4d.(2D<5/2>).9g"	"2[5/2]"	"2"	""	"0.2706490"	""	"0.0000009"	"L16320"
"4d.(2D<5/2>).9g"	"2[3/2]"	"2"	""	"0.2706531"	""	"0.0000009"	"L16320"
"4d.(2D<5/2>).10f"	"2[3/2]*"	"1"	""	"0.271836"	""	"0.000003"	"L7603"
"4d.(2D<5/2>).10g"	"2[5/2]"	"2"	""	"0.2718369"	""	"0.0000009"	"L16320"
"4d.(2D<5/2>).10g"	"2[3/2]"	"2"	""	"0.2718387"	""	"0.0000009"	"L16320"
"Sr II (4d 2D<3/2>)"	"Limit"	"---"	""	"0.2756040"	""	"0.0000009"	"L4447"
"Sr II (4d 2D<5/2>)"	"Limit"	"---"	""	"0.2768813"	""	"0.0000009"	"L4447"
