Configuration	Term	J	Prefix	Level (Hartree)	Suffix	Uncertainty (Hartree)	Lande	Leading percentages	Reference
"4f14.6s.(2S<1/2>).32p<3/2>"	"(1/2,3/2)*"	"1"	""	"0.2291973"	""	""	""	"                                                                      "	""
"4f14.6s.(2S<1/2>).33p<3/2>"	"(1/2,3/2)*"	"1"	""	"0.2292392"	""	""	""	"                                                                      "	""
"4f14.6s.(2S<1/2>).34p<3/2>"	"(1/2,3/2)*"	"1"	""	"0.2292768"	""	""	""	"                                                                      "	""
"4f14.6s.(2S<1/2>).35p<3/2>"	"(1/2,3/2)*"	"1"	""	"0.2293125"	""	""	""	"                                                                      "	""
"4f14.6s.(2S<1/2>).36p<3/2>"	"(1/2,3/2)*"	"1"	""	"0.2293438"	""	""	""	"                                                                      "	""
"4f14.6s.(2S<1/2>).37p<3/2>"	"(1/2,3/2)*"	"1"	""	"0.2293721"	""	""	""	"                                                                      "	""
"4f14.6s.(2S<1/2>).38p<3/2>"	"(1/2,3/2)*"	"1"	""	"0.2293985"	""	""	""	"                                                                      "	""
"4f14.6s.(2S<1/2>).39p<3/2>"	"(1/2,3/2)*"	"1"	""	"0.2294225"	""	""	""	"                                                                      "	""
"4f14.6s.(2S<1/2>).40p<3/2>"	"(1/2,3/2)*"	"1"	""	"0.2294443"	""	""	""	"                                                                      "	""
"4f14.6s.(2S<1/2>).41p<3/2>"	"(1/2,3/2)*"	"1"	""	"0.2294650"	""	""	""	"                                                                      "	""
"4f14.6s.(2S<1/2>).42p<3/2>"	"(1/2,3/2)*"	"1"	""	"0.2294836"	""	""	""	"                                                                      "	""
"4f14.6s.(2S<1/2>).43p<3/2>"	"(1/2,3/2)*"	"1"	""	"0.2295009"	""	""	""	"                                                                      "	""
"4f14.6s.(2S<1/2>).44p<3/2>"	"(1/2,3/2)*"	"1"	""	"0.2295172"	""	""	""	"                                                                      "	""
"4f14.6s.(2S<1/2>).45p<3/2>"	"(1/2,3/2)*"	"1"	""	"0.2295318"	""	""	""	"                                                                      "	""
"4f14.6s.(2S<1/2>).46p<3/2>"	"(1/2,3/2)*"	"1"	""	"0.2295454"	""	""	""	"                                                                      "	""
"4f14.6s.(2S<1/2>).47p<3/2>"	"(1/2,3/2)*"	"1"	""	"0.2295582"	""	""	""	"                                                                      "	""
"4f14.6s.(2S<1/2>).48p<3/2>"	"(1/2,3/2)*"	"1"	""	"0.2295703"	""	""	""	"                                                                      "	""
"Yb II (6s 2S<1/2>)"	"Limit"	"---"	""	"0.2298361"	""	"0.0000005"	""	"                                                                      "	"L4980"
"4f14.5d.6p?"	"3D*?"	"1"	""	"0.23600"	"a"	""	""	"                                                                      "	""
""	"*"	"4"	""	"0.2393914"	""	""	""	"                                                                      "	""
"4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4P*<5/2>)"	"(7/2,5/2)"	"6"	""	"0.2409153"	""	""	"1.13"	"  45                  :    21   (2F*<7/2>)(4F*<9/2>) (7/2,9/2)        "	""
"4f14.5d.6p?"	"3P*?"	"1"	""	"0.24274"	"a"	""	""	"                                                                      "	""
""	"*"	"1"	""	"0.24623"	"a"	""	""	"                                                                      "	""
""	"*"	"1"	""	"0.24790"	"a"	""	""	"                                                                      "	""
""	"*"	"1"	""	"0.249"	"+a?"	""	""	"                                                                      "	""
"4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (2P*<3/2>)"	""	"5"	""	"0.2493147"	""	""	""	"  37  (7/2,3/2)       :    15   (2F*<7/2>)(2F*<7/2>) (7/2,7/2)        "	""
"4f14.5d.6p?"	"1P*?"	"1"	""	"0.252"	"a"	""	""	"                                                                      "	""
"4f13.(2F*<5/2>) .5d.(2D).6s.6p.(3P*) (2D*<5/2>)"	""	"5"	""	"0.2616689"	""	""	"1.11"	"  16  (5/2,5/2)       :    15   (2F*<7/2>)(1P*)(2D*<5/2>) (7/2,5/2)   "	""
""	""	"6"	""	"0.2616797"	""	""	"1.16"	"                                                                      "	""
""	""	"5"	""	"0.2619006"	""	""	"1.13"	"                                                                      "	""
"4f13.(2F*<7/2>) .5d.(2D).6s.6p.(1P*) (2F*<7/2>)"	""	"4"	""	"0.2676030"	""	""	"1.14"	"  31  (7/2,7/2)       :     9   (2F*<7/2>)(3P*)(2F*<5/2>) (7/2,5/2)   "	""
""	""	"5"	""	"0.2684200"	""	""	"1.09"	"                                                                      "	""
"4f13.(2F*<5/2>) .5d.(2D).6s.6p.(3P*) (2D*<5/2>)"	""	"4"	""	"0.2691945"	""	""	""	"  24  (5/2,5/2)       :    22   (2F*<5/2>)(4D*<5/2>) (5/2,5/2)        "	""
""	""	"2"	""	"0.2705421"	""	""	""	"                                                                      "	""
""	"*"	"1"	""	"0.27088"	"a"	""	""	"                                                                      "	""
""	"*"	"1"	""	"0.2721"	"a"	""	""	"                                                                      "	""
""	"*"	"5"	""	"0.2736252"	""	""	""	"                                                                      "	""
""	"*"	"1"	""	"0.274"	"a"	""	""	"                                                                      "	""
""	""	"5"	""	"0.2796861"	""	""	""	"                                                                      "	""
""	"*"	"1"	""	"0.2799"	"a"	""	""	"                                                                      "	""
""	"*"	"1"	""	"0.283"	"a"	""	""	"                                                                      "	""
""	"*"	"5"	""	"0.2838982"	""	""	""	"                                                                      "	""
""	"*"	"5"	""	"0.2842949"	""	""	"1.10"	"                                                                      "	""
""	"*"	"6"	""	"0.2856248"	""	""	""	"                                                                      "	""
"4f14.5d.7p?"	"3D*?"	"1"	""	"0.2873"	"a"	""	""	"                                                                      "	""
"4f14.5d.7p?"	"3P*?"	"1"	""	"0.2900"	"a"	""	""	"                                                                      "	""
""	"*"	"5"	""	"0.2901132"	""	""	""	"                                                                      "	""
""	""	"2"	""	"0.2924197"	""	""	"1.02"	"                                                                      "	""
"4f14.5d.7p?"	"1P*?"	"1"	""	"0.294"	"a"	""	""	"                                                                      "	""
""	"*"	"1"	""	"0.3067"	"a"	""	""	"                                                                      "	""
""	"*"	"6"	""	"0.3091216"	""	""	""	"                                                                      "	""
""	"*"	"1"	""	"0.3134"	"a"	""	""	"                                                                      "	""
""	"*"	"1"	""	"0.318"	"a"	""	""	"                                                                      "	""
"Tm II (4f13.6s2 2F*<7/2>)"	"Limit"	"---"	""	"0.327417"	""	""	""	"                                                                      "	""
""	""	"2"	""	"0.3289228"	""	""	""	"                                                                      "	""
