Configuration	Term	J	Prefix	Level (Hartree)	Suffix	Uncertainty (Hartree)	Lande	Reference
"3p5.4s.(1P*).27s"	"2P*"	"1/2,3/2"	""	"0.917126"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).26d"	"2P*"	"1/2,3/2"	""	"0.917126"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).28s"	"2P*"	"1/2,3/2"	""	"0.917195"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).27d"	"2P*"	"1/2,3/2"	""	"0.917195"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).29s"	"2P*"	"1/2,3/2"	""	"0.917250"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).28d"	"2P*"	"1/2,3/2"	""	"0.917250"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).30s"	"2P*"	"1/2,3/2"	""	"0.917300"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).29d"	"2P*"	"1/2,3/2"	""	"0.917300"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).31s"	"2P*"	"1/2,3/2"	""	"0.917354"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).30d"	"2P*"	"1/2,3/2"	""	"0.917354"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).32s"	"2P*"	"1/2,3/2"	""	"0.917400"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).31d"	"2P*"	"1/2,3/2"	""	"0.917400"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).33s"	"2P*"	"1/2,3/2"	""	"0.917445"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).32d"	"2P*"	"1/2,3/2"	""	"0.917445"	""	"0.000014"	""	"L6851"
"K II (3p5.4s 1P*<1>)"	"Limit"	"---"	""	"0.9179517"	""	"0.0000005"	""	"L12188"
"3p5.3d.(1P*).5s"	"2P*"	"1/2,3/2"	""	"0.975325"	""	"0.000014"	""	"L6851"
"3p5.3d.(1P*).11s"	"2P*"	"1/2,3/2"	""	"1.072798"	""	"0.000018"	""	"L6851"
"3p5.3d.(1P*).12s"	"2P*"	"1/2,3/2"	""	"1.074033"	""	"0.000018"	""	"L6851"
"3p5.3d.(1P*).13s"	"2P*"	"1/2,3/2"	""	"1.074958"	""	"0.000018"	""	"L6851"
"3p5.3d.(1P*).14s"	"2P*"	"1/2,3/2"	""	"1.075614"	""	"0.000018"	""	"L6851"
"3p5.3d.(1P*).15s"	"2P*"	"1/2,3/2"	""	"1.076197"	""	"0.000018"	""	"L6851"
"3p5.3d.(1P*).16s"	"2P*"	"1/2,3/2"	""	"1.076662"	""	"0.000018"	""	"L6851"
"3p5.3d.(1P*).17s"	"2P*"	"1/2,3/2"	""	"1.077040"	""	"0.000018"	""	"L6851"
"3p5.3d.(1P*).18s"	"2P*"	"1/2,3/2"	""	"1.077377"	""	"0.000018"	""	"L6851"
"3p5.3d.(1P*).19s"	"2P*"	"1/2,3/2"	""	"1.077651"	""	"0.000018"	""	"L6851"
"3p5.3d.(1P*).20s"	"2P*"	"1/2,3/2"	""	"1.077888"	""	"0.000018"	""	"L6851"
"3p5.3d.(1P*).21s"	"2P*"	"1/2,3/2"	""	"1.078084"	""	"0.000018"	""	"L6851"
"3p5.3d.(1P*).22s"	"2P*"	"1/2,3/2"	""	"1.078252"	""	"0.000018"	""	"L6851"
"3p5.3d.(1P*).23s"	"2P*"	"1/2,3/2"	""	"1.078384"	""	"0.000018"	""	"L6851"
"K II (3p5.3d 1P*<1>)"	"Limit"	"---"	""	"1.0797029"	""	"0.0000009"	""	"L12188"
